model,brand,price,rating,ratings_count,reviews_count,ram,rom,battery,display_inch,rear_camera,front_camera,processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Samsung,12499.0,4.2,242.0,534.0,6,128,5000,6.7,50MP + 2MP,8MP,Dimensity 6300 Processor
"Ai+ Nova 5G (Blue, 128 GB)",Ai+,10999.0,3.9,39.0,490.0,8,128,5000,6.745,50MP,5MP,T8200 Processor
HOTLINE H310,HOTLINE,499.0,3.5,701.0,497.0,32,32,1000,1.8,0.3MP,0,0
"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 256 GB)",MOTOROLA,29999.0,4.4,100.0,211.0,8,256,7000,6.8,50MP + 13MP,32MP,Snapdragon 7s Gen 4 Processor
"realme P4x 5G (Matte Silver, 128 GB)",realme,17999.0,4.4,580.0,274.0,8,128,7000,6.72,50MP + 2MP,8MP,Dimensity 7400 Ultra Processor
"MOTOROLA g35 5G (Leaf Green, 128 GB)",MOTOROLA,11999.0,4.2,671.0,860.0,4,128,5000,6.72,50MP + 8MP,16MP,T760 Processor
"realme P4 Lite (Beach Gold, 64 GB)",realme,8499.0,4.4,859.0,17.0,4,64,6300,6.75,13MP,5MP,T7250 Processor
"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)",OnePlus,30940.0,4.5,92.0,548.0,8,256,7100,6.77,50MP,0,0
"Ai+ Nova 5G (Green, 128 GB)",Ai+,10999.0,3.9,39.0,490.0,8,128,5000,6.745,50MP,5MP,T8200 Processor
MOTOROLA Moto A300,MOTOROLA,1319.0,4.1,65.0,54.0,4,32,1000,2.0,1.3MP + 0MP,0MP,Mtk Processor
"Apple iPhone 16 (White, 128 GB)",Apple,64900.0,4.6,721.0,974.0,0,0,0,6.1,48MP + 12MP,12MP,"A18 Chip, 6 Core Processor Processor"
"MOTOROLA G86 Power 5G (Pantone Golden Cypress, 128 GB)",MOTOROLA,17999.0,4.3,379.0,66.0,8,128,6720,6.7,50MP + 8MP,32MP,Dimensity 7400 Processor
"OnePlus Nord CE5 5G (Black Infinity, 128 GB)",OnePlus,26276.0,4.5,92.0,548.0,8,128,7100,6.77,50MP,0,0
"OnePlus Nord CE5 5G (Marble Mist, 128 GB)",OnePlus,26239.0,4.5,92.0,548.0,8,128,7100,6.77,50MP,0,0
"Samsung M06 5G (Sage Green, 128 GB)",Samsung,11236.0,4.1,284.0,73.0,4,128,5000,6.7,50MP,0,0
"Samsung M06 5G (Blazing Black, 128 GB)",Samsung,11499.0,4.1,284.0,73.0,4,128,5000,6.7,50MP,0,0
"vivo T4 Pro 5G (Blaze Gold, 256 GB)",vivo,29999.0,4.5,153.0,220.0,8,256,6500,6.77,50MP + 2MP + 50MP,32MP,7 Gen 4 Processor
"Samsung Galaxy F70e 5G (Spotlight Blue, 128 GB)",Samsung,12999.0,4.2,409.0,34.0,4,128,6000,6.74,50MP + 2MP,8MP,Dimensity 6300 Processor
"Google Pixel 9A (Obsidian, 256 GB)",Google,49999.0,4.5,195.0,611.0,8,256,5100,6.285,48MP + 12MP,12MP,Tensor G4 Processor
"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 128 GB)",MOTOROLA,26999.0,4.4,100.0,211.0,8,128,7000,6.8,50MP + 13MP,32MP,Snapdragon 7s Gen 4 Processor
"IQOO Z11x 5G (Prismatic Green, 256 GB)",IQOO,23471.0,4.4,32.0,8.0,8,256,7200,6.7,50MP,0,0
"vivo T4 Pro 5G (Blaze Gold, 256 GB)",vivo,31999.0,4.5,80.0,336.0,12,256,6500,6.77,50MP + 2MP + 50MP,32MP,7 Gen 4 Processor
"vivo T4 Pro 5G (Nitro Blue, 256 GB)",vivo,31999.0,4.5,80.0,336.0,12,256,6500,6.77,50MP + 2MP + 50MP,32MP,7 Gen 4 Processor
"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)",OnePlus,30940.0,4.5,92.0,548.0,8,256,7100,6.77,50MP,0,0
"Samsung Galaxy F36 5G (Black, 128 GB)",Samsung,16999.0,4.3,499.0,696.0,6,128,5000,6.7,50MP + 8MP + 2MP,13MP,Samsung Exynos 1380 Processor
"Nothing Phone (4a) (Blue, 256 GB)",Nothing,34999.0,4.5,433.0,202.0,8,256,5400,6.78,50MP + 50MP + 8MP,32MP,Snapdragon 7s Gen 4 Processor
"Tecno Pova 7 5G (Oasis Green, 128 GB)",Tecno,14999.0,4.4,949.0,750.0,8,128,6000,6.78,50MP + AI,13MP,Dimensity 7300 Ultimate Processor
"Tecno Pova 7 5G (Geek Black, 128 GB)",Tecno,14999.0,4.4,949.0,750.0,8,128,6000,6.78,50MP + AI,13MP,Dimensity 7300 Ultimate Processor
MOTOROLA Moto A100,MOTOROLA,999.0,4.1,112.0,6.0,36,36,800,1.44,0MP,0MP,Mtk Processor
"MOTOROLA g35 5G (Leaf Green, 128 GB)",MOTOROLA,11999.0,4.2,671.0,860.0,4,128,5000,6.72,50MP + 8MP,16MP,T760 Processor
"realme P3 Lite 5G (Jade Green, 128 GB)",realme,12999.0,4.3,264.0,516.0,4,128,6000,6.67,32MP,8MP,Dimensity 6300 Processor
